TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T00094,2026-07-29,Sugar,Grocery,North,Online,8,999,7992,Credit Card,C0724
T00095,2026-05-25,Rice,Grocery,South,Offline,4,999,3996,UPI,C0558
T00096,2026-04-26,Jacket,Clothing,North,Online,3,299,897,Credit Card,C0610
T00097,2026-10-19,Table,Home,East,Offline,2,4999,9998,Credit Card,C0513
T00098,2026-10-04,Oil,Grocery,North,Offline,2,19999,39998,Credit Card,C0619
T00099,2026-05-09,Laptop,Electronics,North,Offline,4,29999,119996,UPI,C0782
T00100,2026-03-31,Sugar,Grocery,South,Offline,8,999,7992,Net Banking,C0094
T00101,2026-08-29,Table,Home,North,Online,6,1499,8994,Credit Card,C0422
T00102,2026-12-22,Bread,Grocery,North,Offline,7,9999,69993,UPI,C0323
T00103,2026-05-10,Mixer,Home,North,Offline,7,9999,69993,Net Banking,C0056
T00104,2026-04-07,Yoga Mat,Sports,West,Online,10,4999,49990,Cash,C0274
T00105,2026-10-09,Jacket,Clothing,West,Online,8,49999,399992,UPI,C0646
T00106,2026-11-08,Jeans,Clothing,North,Offline,5,9999,49995,UPI,C0231
T00107,2026-02-28,Rice,Grocery,East,Offline,3,4999,14997,Net Banking,C0495
T00108,2026-08-30,Shoes,Clothing,West,Online,9,499,4491,Cash,C0072
T00109,2026-05-22,Bread,Grocery,North,Offline,9,999,8991,Credit Card,C0602
T00110,2026-10-24,Milk,Grocery,West,Offline,8,9999,79992,Credit Card,C0566
T00111,2026-10-06,Oil,Grocery,South,Offline,6,799,4794,Cash,C0795
T00112,2026-07-30,Headphones,Electronics,West,Offline,8,49999,399992,Cash,C0508
T00113,2026-01-19,Dress,Clothing,North,Offline,10,1499,14990,UPI,C0539
T00114,2026-08-22,Smartphone,Electronics,South,Online,7,29999,209993,Net Banking,C0272
T00115,2026-06-23,Dumbbell,Sports,West,Offline,2,1499,2998,Net Banking,C0555
T00116,2026-01-19,Football,Sports,East,Online,4,29999,119996,UPI,C0445
T00117,2026-02-20,Smartwatch,Electronics,East,Online,3,49999,149997,UPI,C0333
T00118,2026-01-29,Chair,Home,South,Online,6,2499,14994,Net Banking,C0580
T00119,2026-12-16,Jeans,Clothing,West,Online,3,299,897,Net Banking,C0598
T00120,2026-03-15,Shoes,Clothing,East,Online,5,4999,24995,Net Banking,C0295
T00121,2026-12-13,Cricket Bat,Sports,East,Offline,2,4999,9998,Net Banking,C0707
T00122,2026-05-09,Bread,Grocery,West,Online,4,2499,9996,Cash,C0391
T00123,2026-10-20,Sofa,Home,East,Online,5,49999,249995,Net Banking,C0282
T00124,2026-01-05,Football,Sports,West,Offline,10,49999,499990,Cash,C0622
T00125,2026-06-30,Jeans,Clothing,South,Online,10,999,9990,UPI,C0317
T00126,2026-08-14,Tablet,Electronics,South,Online,6,49999,299994,Credit Card,C0335
T00127,2026-08-01,Jeans,Clothing,East,Offline,3,9999,29997,Cash,C0264
T00128,2026-09-04,Chair,Home,North,Online,2,4999,9998,Cash,C0693
T00129,2026-12-12,Sugar,Grocery,West,Online,6,299,1794,Credit Card,C0550
T00130,2026-03-05,Bread,Grocery,West,Offline,5,19999,99995,UPI,C0692
T00131,2026-04-30,Rice,Grocery,East,Online,10,9999,99990,UPI,C0651
T00132,2026-08-26,Table,Home,North,Online,2,499,998,Credit Card,C0505
T00133,2026-03-01,Smartphone,Electronics,West,Offline,9,499,4491,Credit Card,C0687
T00134,2026-12-23,Dumbbell,Sports,South,Offline,10,49999,499990,UPI,C0502
T00135,2026-11-12,Bread,Grocery,East,Online,1,49999,49999,Net Banking,C0456
T00136,2026-05-01,Mixer,Home,East,Online,6,9999,59994,Net Banking,C0283
T00137,2026-04-08,Smartwatch,Electronics,South,Online,2,29999,59998,UPI,C0342
T00138,2026-05-05,Dress,Clothing,South,Online,4,299,1196,Cash,C0337
T00139,2026-03-17,Football,Sports,South,Offline,5,499,2495,Cash,C0113
T00140,2026-12-05,Smartphone,Electronics,South,Offline,1,1499,1499,UPI,C0179
T00141,2026-05-16,Smartphone,Electronics,North,Online,7,9999,69993,Net Banking,C0460
T00142,2026-07-05,Tennis Racket,Sports,South,Online,2,4999,9998,Credit Card,C0470
T00143,2026-11-26,Laptop,Electronics,West,Online,8,2499,19992,Net Banking,C0730
T00144,2026-08-16,Laptop,Electronics,South,Online,6,19999,119994,Cash,C0282
T00145,2026-11-16,Tennis Racket,Sports,East,Offline,6,2499,14994,Net Banking,C0102
T00146,2026-12-26,Tablet,Electronics,West,Online,4,2499,9996,Net Banking,C0348
T00147,2026-08-21,Oil,Grocery,West,Offline,2,1499,2998,Credit Card,C0384
T00148,2026-03-20,Rice,Grocery,North,Offline,2,299,598,UPI,C0763
T00149,2026-07-10,Dress,Clothing,East,Online,1,19999,19999,Net Banking,C0363
T00150,2026-12-07,Rice,Grocery,East,Offline,5,19999,99995,UPI,C0592
T00151,2026-09-17,Jeans,Clothing,North,Offline,8,799,6392,Credit Card,C0118
T00152,2026-05-23,Cricket Bat,Sports,North,Offline,7,9999,69993,UPI,C0185
T00153,2026-05-20,Chair,Home,South,Online,6,199,1194,Net Banking,C0072
T00154,2026-03-14,Laptop,Electronics,West,Offline,9,799,7191,Net Banking,C0350
T00155,2026-03-22,Chair,Home,North,Online,6,19999,119994,Cash,C0162
T00156,2026-11-13,Laptop,Electronics,West,Offline,5,4999,24995,Net Banking,C0425
T00157,2026-05-20,Dress,Clothing,West,Online,2,1499,2998,Credit Card,C0695
T00158,2026-12-14,Dumbbell,Sports,East,Online,9,29999,269991,Cash,C0405
T00159,2026-11-03,Laptop,Electronics,South,Online,4,999,3996,Credit Card,C0297
T00160,2026-06-17,Laptop,Electronics,West,Online,8,49999,399992,Cash,C0390
T00161,2026-09-30,Dress,Clothing,East,Online,9,29999,269991,Net Banking,C0760
T00162,2026-01-22,Rice,Grocery,East,Offline,8,299,2392,Net Banking,C0727
T00163,2026-11-24,Bread,Grocery,North,Offline,2,2499,4998,Cash,C0633
T00164,2026-08-24,Mixer,Home,South,Offline,7,299,2093,Net Banking,C0537
T00165,2026-02-10,Bread,Grocery,East,Online,6,799,4794,UPI,C0523
T00166,2026-11-21,Tablet,Electronics,East,Offline,9,799,7191,Cash,C0242
T00167,2026-02-22,Jacket,Clothing,South,Online,4,499,1996,Cash,C0792
T00168,2026-11-18,Oil,Grocery,West,Offline,10,19999,199990,Credit Card,C0155
T00169,2026-08-14,Smartwatch,Electronics,East,Offline,8,29999,239992,UPI,C0361
T00170,2026-09-17,Headphones,Electronics,North,Online,8,4999,39992,Credit Card,C0294
T00171,2026-02-09,Tablet,Electronics,West,Offline,10,9999,99990,UPI,C0461
T00172,2026-10-20,Jacket,Clothing,South,Online,10,4999,49990,Net Banking,C0106
T00173,2026-06-25,Tablet,Electronics,South,Offline,3,199,597,Net Banking,C0537
T00174,2026-09-25,Cricket Bat,Sports,East,Offline,6,1499,8994,Net Banking,C0794
T00175,2026-06-23,Football,Sports,East,Online,6,299,1794,Net Banking,C0291
T00176,2026-05-10,Cricket Bat,Sports,South,Offline,6,299,1794,Credit Card,C0672
T00177,2026-12-24,Milk,Grocery,North,Offline,10,49999,499990,Net Banking,C0659
T00178,2026-06-18,Dress,Clothing,West,Offline,2,29999,59998,UPI,C0372
T00179,2026-06-08,Jeans,Clothing,South,Online,6,4999,29994,Cash,C0159
T00180,2026-02-09,Mixer,Home,North,Offline,9,9999,89991,Cash,C0612
T00181,2026-07-12,Jeans,Clothing,South,Offline,3,49999,149997,UPI,C0421
T00182,2026-07-06,Shoes,Clothing,West,Online,10,999,9990,Cash,C0317
T00183,2026-08-29,Jacket,Clothing,West,Offline,10,4999,49990,Net Banking,C0515
T00184,2026-09-28,Milk,Grocery,South,Offline,4,19999,79996,UPI,C0657
T00185,2026-09-04,Sofa,Home,North,Offline,2,49999,99998,UPI,C0782
T00186,2026-03-24,Table,Home,West,Online,9,499,4491,Cash,C0462
T00187,2026-06-28,Smartwatch,Electronics,East,Online,1,2499,2499,Net Banking,C0084
T00188,2026-07-11,T-Shirt,Clothing,East,Online,6,299,1794,Cash,C0040
T00189,2026-05-27,Milk,Grocery,North,Online,8,4999,39992,UPI,C0263
T00190,2026-04-21,Dress,Clothing,West,Online,10,9999,99990,Credit Card,C0244
T00191,2026-06-04,Laptop,Electronics,West,Online,4,2499,9996,UPI,C0512
T00192,2026-11-02,Football,Sports,South,Online,9,19999,179991,Credit Card,C0440
T00193,2026-01-01,Yoga Mat,Sports,West,Online,4,19999,79996,UPI,C0537
T00194,2026-07-04,Tablet,Electronics,North,Offline,9,9999,89991,Net Banking,C0045
T00195,2026-11-22,Bread,Grocery,North,Offline,5,49999,249995,UPI,C0354
T00196,2026-05-04,Tablet,Electronics,North,Offline,6,499,2994,Credit Card,C0659
T00197,2026-03-31,Oil,Grocery,North,Offline,3,499,1497,UPI,C0301
T00198,2026-04-14,Smartphone,Electronics,East,Offline,1,1499,1499,Net Banking,C0260
T00199,2026-01-19,Jacket,Clothing,East,Offline,6,199,1194,UPI,C0377
T00200,2026-08-12,Oil,Grocery,South,Offline,7,1499,10493,Net Banking,C0377
T00201,2026-09-23,Mixer,Home,West,Online,7,299,2093,Credit Card,C0329
T00202,2026-02-22,Headphones,Electronics,West,Offline,5,999,4995,Cash,C0707
T00203,2026-08-16,Table,Home,East,Offline,1,49999,49999,Credit Card,C0655
T00204,2026-01-30,Smartwatch,Electronics,South,Online,6,9999,59994,Cash,C0623
T00205,2026-12-14,Rice,Grocery,South,Offline,3,299,897,Credit Card,C0393
T00206,2026-10-18,Tablet,Electronics,West,Offline,3,29999,89997,Credit Card,C0455
T00207,2026-02-09,Cricket Bat,Sports,West,Offline,9,1499,13491,Credit Card,C0256
T00208,2026-02-28,Smartphone,Electronics,West,Online,8,9999,79992,Credit Card,C0794
T00209,2026-05-14,Milk,Grocery,West,Online,10,999,9990,UPI,C0139
T00210,2026-02-07,Milk,Grocery,East,Offline,8,299,2392,UPI,C0564
T00211,2026-10-05,Chair,Home,South,Offline,3,49999,149997,Cash,C0125
T00212,2026-04-13,Jeans,Clothing,East,Offline,8,199,1592,Net Banking,C0565
T00213,2026-03-08,Football,Sports,West,Offline,2,999,1998,Net Banking,C0788
T00214,2026-07-29,Football,Sports,North,Offline,3,1499,4497,Net Banking,C0697
T00215,2026-09-22,Microwave,Home,South,Online,9,29999,269991,Net Banking,C0515
T00216,2026-01-29,Tablet,Electronics,South,Online,3,999,2997,Credit Card,C0727
T00217,2026-04-26,Sofa,Home,East,Online,5,299,1495,Credit Card,C0129
T00218,2026-11-17,Sofa,Home,South,Online,9,299,2691,Cash,C0675
T00219,2026-11-16,Yoga Mat,Sports,North,Online,10,199,1990,UPI,C0657
T00220,2026-10-23,Microwave,Home,North,Offline,10,2499,24990,Credit Card,C0658
T00221,2026-06-04,Milk,Grocery,West,Online,7,999,6993,UPI,C0162
T00222,2026-08-14,Oil,Grocery,East,Online,8,799,6392,Credit Card,C0736
T00223,2026-06-13,Table,Home,North,Offline,3,1499,4497,Cash,C0478
T00224,2026-03-04,Table,Home,North,Online,4,499,1996,Credit Card,C0394
T00225,2026-11-12,Milk,Grocery,East,Online,3,1499,4497,Cash,C0511
T00226,2026-09-21,Oil,Grocery,North,Online,5,4999,24995,Net Banking,C0518
T00227,2026-08-23,Jeans,Clothing,North,Online,10,1499,14990,Credit Card,C0507
T00228,2026-11-02,Bread,Grocery,North,Offline,9,199,1791,Cash,C0271
T00229,2026-07-07,Bread,Grocery,North,Online,1,2499,2499,Credit Card,C0567
T00230,2026-05-28,Smartwatch,Electronics,East,Online,9,4999,44991,Cash,C0100
T00231,2026-07-21,Chair,Home,South,Online,9,1499,13491,Net Banking,C0513
T00232,2026-01-21,Laptop,Electronics,East,Offline,3,49999,149997,Net Banking,C0153
T00233,2026-11-07,Cricket Bat,Sports,East,Online,6,19999,119994,Net Banking,C0632
T00234,2026-06-03,Yoga Mat,Sports,West,Offline,9,9999,89991,Net Banking,C0018
T00235,2026-07-08,Mixer,Home,East,Online,7,19999,139993,Net Banking,C0272
T00236,2026-12-02,Tennis Racket,Sports,North,Offline,4,49999,199996,Cash,C0537
T00237,2026-11-19,Dumbbell,Sports,South,Online,3,29999,89997,UPI,C0196
T00238,2026-01-10,Bread,Grocery,West,Online,7,499,3493,Net Banking,C0514
T00239,2026-11-10,Rice,Grocery,South,Offline,3,9999,29997,Net Banking,C0539
T00240,2026-07-12,Microwave,Home,East,Offline,8,9999,79992,Credit Card,C0625
T00241,2026-09-05,Jeans,Clothing,East,Online,5,9999,49995,Credit Card,C0790
T00242,2026-05-28,Shoes,Clothing,East,Offline,6,4999,29994,Credit Card,C0125
T00243,2026-10-21,Dumbbell,Sports,South,Offline,7,1499,10493,UPI,C0295
T00244,2026-02-10,Table,Home,West,Online,5,49999,249995,Cash,C0552
T00245,2026-05-19,Yoga Mat,Sports,South,Online,3,299,897,UPI,C0686
T00246,2026-09-29,Jeans,Clothing,West,Offline,1,299,299,Net Banking,C0103
T00247,2026-12-15,T-Shirt,Clothing,West,Offline,9,499,4491,Net Banking,C0667
T00248,2026-04-13,Chair,Home,North,Online,5,29999,149995,Cash,C0548
T00249,2026-01-20,Shoes,Clothing,West,Offline,3,199,597,Cash,C0767
T00250,2026-05-29,Laptop,Electronics,North,Offline,5,19999,99995,Credit Card,C0466
T00251,2026-11-25,Tennis Racket,Sports,West,Offline,8,499,3992,Cash,C0116
T00252,2026-06-19,Shoes,Clothing,South,Online,5,49999,249995,Credit Card,C0303
T00253,2026-10-18,Jeans,Clothing,West,Offline,10,29999,299990,Credit Card,C0089
T00254,2026-07-25,Smartphone,Electronics,East,Online,3,4999,14997,UPI,C0268
T00255,2026-07-16,Shoes,Clothing,East,Online,5,1499,7495,Credit Card,C0670
T00256,2026-07-04,T-Shirt,Clothing,East,Online,2,4999,9998,Net Banking,C0703
T00257,2026-09-15,Mixer,Home,South,Online,5,1499,7495,Cash,C0490
T00258,2026-03-20,Sugar,Grocery,West,Online,6,2499,14994,Cash,C0697
T00259,2026-11-02,Tablet,Electronics,East,Online,8,9999,79992,UPI,C0064
T00260,2026-10-08,Cricket Bat,Sports,South,Online,10,9999,99990,Credit Card,C0533
T00261,2026-08-15,Smartphone,Electronics,North,Offline,10,4999,49990,UPI,C0465
T00262,2026-03-09,Dumbbell,Sports,North,Offline,8,19999,159992,Credit Card,C0741
T00263,2026-01-12,Bread,Grocery,South,Online,1,49999,49999,UPI,C0434
T00264,2026-06-26,Tablet,Electronics,West,Online,1,299,299,Credit Card,C0419
T00265,2026-04-03,Shoes,Clothing,West,Offline,6,2499,14994,Net Banking,C0083
T00266,2026-12-16,Cricket Bat,Sports,South,Offline,6,299,1794,Cash,C0746
T00267,2026-04-25,Laptop,Electronics,West,Offline,5,4999,24995,Cash,C0254
T00268,2026-08-24,Microwave,Home,North,Online,5,799,3995,Net Banking,C0630
T00269,2026-01-09,Jeans,Clothing,North,Offline,2,299,598,UPI,C0251
T00270,2026-01-23,Oil,Grocery,South,Online,4,9999,39996,Cash,C0516
T00271,2026-05-29,Dress,Clothing,East,Online,6,19999,119994,Credit Card,C0147
T00272,2026-12-05,Cricket Bat,Sports,East,Online,7,999,6993,Cash,C0642
T00273,2026-12-14,Sugar,Grocery,East,Offline,8,199,1592,Credit Card,C0714
T00274,2026-08-02,Milk,Grocery,South,Offline,5,2499,12495,Cash,C0231
T00275,2026-06-03,Shoes,Clothing,West,Offline,1,9999,9999,Cash,C0398
T00276,2026-05-05,Microwave,Home,North,Offline,6,29999,179994,Credit Card,C0095
T00277,2026-10-02,T-Shirt,Clothing,North,Online,5,2499,12495,Cash,C0780
T00278,2026-10-28,Cricket Bat,Sports,East,Offline,8,799,6392,UPI,C0217
T00279,2026-04-08,Smartwatch,Electronics,South,Offline,4,49999,199996,Cash,C0566
T00280,2026-06-14,Table,Home,East,Offline,8,9999,79992,Credit Card,C0369
T00281,2026-09-20,Oil,Grocery,West,Offline,2,49999,99998,Cash,C0380
T00282,2026-06-10,Rice,Grocery,South,Online,10,799,7990,Credit Card,C0567
T00283,2026-10-27,Dumbbell,Sports,South,Offline,5,499,2495,Cash,C0389
T00284,2026-10-19,Shoes,Clothing,East,Offline,9,29999,269991,Net Banking,C0741
T00285,2026-11-25,Oil,Grocery,East,Online,3,49999,149997,Cash,C0738
T00286,2026-10-07,Milk,Grocery,North,Online,9,29999,269991,UPI,C0685
T00287,2026-01-25,Smartwatch,Electronics,South,Online,3,29999,89997,Cash,C0010
T00288,2026-04-22,Dumbbell,Sports,West,Offline,6,199,1194,UPI,C0007
T00289,2026-09-30,Dumbbell,Sports,East,Offline,1,199,199,UPI,C0515
T00290,2026-12-24,Milk,Grocery,South,Online,2,299,598,Cash,C0635
T00291,2026-09-27,Chair,Home,North,Offline,5,2499,12495,Net Banking,C0471
T00292,2026-10-17,Jeans,Clothing,North,Online,5,29999,149995,UPI,C0416
T00293,2026-07-14,Sugar,Grocery,North,Online,8,199,1592,UPI,C0512
T00294,2026-08-11,Sofa,Home,North,Online,2,9999,19998,Cash,C0709
T00295,2026-10-18,Bread,Grocery,East,Online,1,299,299,Cash,C0323
T00296,2026-01-09,Dress,Clothing,West,Online,3,49999,149997,Credit Card,C0167
T00297,2026-10-16,Dress,Clothing,East,Offline,7,29999,209993,Cash,C0706
T00298,2026-02-10,Yoga Mat,Sports,West,Online,1,299,299,UPI,C0349
T00299,2026-11-06,Tennis Racket,Sports,North,Offline,7,1499,10493,Net Banking,C0503
T00300,2026-04-27,Sofa,Home,South,Offline,7,2499,17493,UPI,C0791
T00301,2026-11-13,Microwave,Home,East,Online,2,299,598,Net Banking,C0729
T00302,2026-11-21,Shoes,Clothing,North,Online,6,1499,8994,UPI,C0316
T00303,2026-08-16,Chair,Home,North,Online,2,499,998,Net Banking,C0460
T00304,2026-10-13,Tennis Racket,Sports,North,Online,7,299,2093,Credit Card,C0568
T00305,2026-02-17,Tennis Racket,Sports,North,Offline,6,2499,14994,Net Banking,C0398
T00306,2026-02-13,Cricket Bat,Sports,South,Offline,10,9999,99990,Cash,C0143
T00307,2026-05-18,Chair,Home,North,Online,8,499,3992,Net Banking,C0283
T00308,2026-08-04,Table,Home,East,Online,2,1499,2998,Net Banking,C0609
T00309,2026-11-12,Shoes,Clothing,East,Online,2,499,998,Net Banking,C0341
T00310,2026-11-14,Bread,Grocery,West,Online,8,1499,11992,Credit Card,C0329
T00311,2026-11-05,Shoes,Clothing,West,Offline,6,499,2994,Credit Card,C0753
T00312,2026-12-22,Sugar,Grocery,West,Offline,4,1499,5996,Net Banking,C0374
T00313,2026-02-28,Cricket Bat,Sports,South,Online,10,9999,99990,Net Banking,C0726
T00314,2026-04-18,Bread,Grocery,West,Online,2,2499,4998,Credit Card,C0248
T00315,2026-05-10,Shoes,Clothing,West,Offline,7,299,2093,Net Banking,C0548
T00316,2026-09-17,Sugar,Grocery,North,Online,1,1499,1499,Cash,C0674
T00317,2026-12-07,Microwave,Home,West,Offline,10,199,1990,Net Banking,C0109
T00318,2026-01-06,Headphones,Electronics,South,Offline,4,9999,39996,Credit Card,C0401
T00319,2026-08-26,Tennis Racket,Sports,North,Offline,3,1499,4497,UPI,C0303
T00320,2026-08-01,Laptop,Electronics,East,Offline,3,1499,4497,Net Banking,C0212
T00321,2026-09-24,Bread,Grocery,West,Offline,8,299,2392,Credit Card,C0069
T00322,2026-06-03,Laptop,Electronics,North,Online,1,1499,1499,Cash,C0529
T00323,2026-03-31,Cricket Bat,Sports,West,Offline,6,9999,59994,Cash,C0415
T00324,2026-11-19,Jeans,Clothing,North,Online,7,2499,17493,Net Banking,C0607
T00325,2026-08-08,Rice,Grocery,East,Online,4,799,3196,UPI,C0550
